Step,UE_ID,x,y,direction,connected_bs,current_prx,sinr,speed,handover
3,56,2200.00,3872.82,3,89,-70.52,-7.88,38.15,0
3,57,3200.00,4528.14,3,95,-63.12,-3.64,21.56,0
3,58,1000.00,2815.03,3,1,-92.26,-23.69,55.49,0
3,59,4600.00,5085.96,1,96,-63.74,-0.36,25.79,0
3,60,1200.00,5987.47,1,5,-98.00,-24.56,56.24,0
3,61,8680.70,4200.00,2,78,-92.00,-22.93,35.79,0
3,62,6000.00,5795.53,1,103,-77.09,-14.26,58.66,0
3,63,7188.51,7800.00,0,109,-62.47,7.32,56.55,0
3,64,1000.00,2134.45,1,0,-113.48,-44.70,40.33,0
3,65,4200.00,5286.91,1,34,-100.31,-47.64,26.07,1
3,66,5400.00,7410.51,3,108,-93.00,-21.91,56.85,0
3,67,1800.00,2545.90,1,83,-41.57,23.27,43.77,0
3,68,5697.92,3400.00,0,46,-110.36,-42.52,29.38,1
3,69,8084.01,8000.00,0,74,-106.60,-30.47,25.20,0
3,70,7917.41,5800.00,2,104,-67.03,4.06,24.78,0
3,71,3000.00,5121.95,1,95,-75.73,-11.37,36.58,0
3,72,5600.00,6680.20,3,108,-64.07,-9.97,35.94,0
3,73,5600.00,2115.89,3,86,-80.01,-12.06,25.23,0
3,74,2400.00,4286.01,1,89,-79.64,-19.02,25.80,0
3,75,3000.00,6352.70,1,20,-115.72,-54.56,45.81,0
3,76,6327.35,5800.00,2,103,-82.62,-31.47,21.79,0
3,77,8600.00,4730.27,1,99,-84.13,-7.62,39.08,0
3,78,5739.36,5200.00,0,97,-38.98,23.19,41.81,0
3,79,8800.00,3121.89,3,76,-116.74,-52.36,23.43,0
3,80,5200.00,4905.76,1,97,-60.24,8.61,31.73,0
3,81,4600.00,6109.43,3,102,-85.31,-21.94,27.17,0
3,82,7086.90,7200.00,2,109,-57.99,14.90,33.93,0
3,83,8757.83,6000.00,0,80,-103.72,-45.10,47.35,0
3,84,5672.81,6000.00,0,50,-92.38,-39.29,21.84,0
3,85,7200.00,7267.16,3,109,-68.04,-2.68,39.85,0
3,86,6289.35,8000.00,0,59,-106.50,-34.61,26.80,0
3,87,6000.00,2581.03,1,86,-61.07,6.19,54.31,0
3,88,6994.47,6600.00,0,65,-106.44,-38.05,58.34,1
3,89,4316.75,2000.00,0,30,-98.29,-32.57,35.02,0
3,90,7400.00,7931.62,1,67,-111.36,-44.29,39.48,0
3,91,6800.00,4792.32,1,98,-79.24,-14.57,57.70,1
3,92,4533.25,8000.00,2,37,-121.44,-75.41,20.02,0
3,93,3255.07,5200.00,2,95,-60.89,7.88,43.48,0
3,94,7000.00,7002.45,3,109,-28.47,44.22,59.26,0
3,95,4302.31,3000.00,0,85,-53.50,-0.53,30.69,0
3,96,2800.00,7299.35,3,106,-66.59,-5.52,30.19,0
3,97,2323.22,3000.00,0,83,-65.42,-8.17,36.97,0
3,98,2325.26,4600.00,0,11,-86.66,-15.69,37.58,0
3,99,8800.00,2179.27,1,75,-106.82,-53.38,53.78,0
4,0,1566.33,8000.00,0,7,-90.83,-23.60,39.92,0
4,1,2600.00,5421.89,1,19,-86.72,-37.64,53.25,0
4,2,7200.00,4808.45,1,63,-82.38,-32.77,50.03,1
4,3,6400.00,3012.20,1,87,-80.08,-17.82,50.93,0
4,4,8427.91,4600.00,0,99,-88.35,-21.90,54.70,0
4,5,8135.74,3400.00,0,69,-98.25,-27.03,32.58,0
4,6,4000.00,3000.15,1,85,-67.14,-3.04,48.04,0
